,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Label
303,12,0,5,1,2,1,1,0,0,18,0,0,0,1,19,0,0,1
304,12,0,2,1,4,3,0,0,2,11,1,0,2,1,9,0,0,1
305,3,0,5,0,1,0,0,0,0,7,0,0,0,1,1,0,0,0
306,20,0,8,0,9,1,0,0,0,18,1,0,1,2,28,1,0,0
307,11,0,6,1,3,1,0,1,0,18,0,0,0,2,11,0,0,0
308,13,0,6,0,5,2,0,0,0,16,0,5,1,0,10,0,0,1
309,10,0,4,0,1,0,0,0,0,10,0,0,1,0,6,0,0,1
310,4,0,6,0,1,0,0,0,0,10,1,0,0,0,6,0,0,0
311,29,1,7,3,9,2,0,3,0,26,3,0,1,0,27,0,0,0
312,45,0,11,1,13,5,0,0,3,42,3,7,1,1,17,1,0,0
313,21,0,8,0,7,1,0,2,0,31,0,0,3,0,13,0,0,1
314,19,0,2,2,6,3,0,0,0,17,0,1,1,0,6,0,0,0
315,20,0,10,1,6,3,0,0,0,37,1,2,1,1,19,0,0,0
316,3,0,5,0,1,0,0,0,0,5,0,0,1,0,4,0,0,0
317,7,0,1,0,0,1,0,0,1,5,2,1,4,0,2,0,0,1
318,3,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
319,7,0,6,0,4,5,0,0,2,11,2,2,1,0,5,0,0,1
320,21,0,7,1,13,2,0,0,1,11,0,0,0,1,25,2,0,0
321,5,0,2,1,2,1,1,0,0,5,1,0,0,0,7,1,0,0
322,10,0,11,0,9,0,0,0,0,10,5,1,0,1,10,0,0,1
323,49,0,19,6,18,14,1,1,3,40,0,13,4,2,26,1,0,0
324,11,0,6,1,3,1,0,1,0,18,0,0,0,2,11,0,0,0
325,32,0,10,1,10,2,0,0,0,40,8,1,4,3,6,0,0,1
326,14,0,4,2,2,7,0,0,2,16,0,2,1,2,15,0,0,1
327,6,0,1,1,4,0,0,0,0,6,1,0,0,3,2,0,0,0
328,43,0,22,3,15,3,0,0,2,29,1,2,3,3,41,0,1,0
329,19,0,9,1,7,1,3,1,0,43,2,0,1,3,25,0,0,0
330,14,0,5,0,7,8,0,0,1,18,0,1,2,0,11,0,1,0
331,14,0,9,0,3,2,0,0,1,10,3,1,0,1,14,1,0,0
332,12,0,1,0,7,8,0,0,1,9,0,5,3,0,10,0,0,1
333,31,0,12,1,14,7,0,0,3,20,1,0,5,2,36,0,0,0
334,47,1,27,3,21,4,0,0,0,53,8,0,5,6,46,0,1,0
335,12,0,6,1,3,1,0,0,0,27,1,0,0,1,10,1,0,1
336,49,5,15,2,11,9,0,2,0,51,2,0,2,4,39,0,0,1
337,16,1,10,0,13,0,0,1,0,12,3,0,0,1,13,0,0,0
338,12,0,4,1,11,3,0,0,0,7,0,0,3,2,5,0,0,0
339,84,0,35,4,33,21,0,1,1,75,0,10,6,1,55,3,2,0
340,21,0,7,1,7,7,0,0,0,13,1,5,1,2,18,0,0,0
341,23,0,12,1,9,3,0,0,1,39,2,0,2,8,30,0,1,1
342,3,0,6,0,2,0,0,0,0,6,1,0,0,1,8,0,0,0
343,31,0,10,2,6,6,0,0,0,28,1,2,5,3,11,1,0,0
344,53,2,34,5,18,13,0,6,1,59,1,4,8,1,48,0,0,0
345,19,0,3,1,3,2,0,0,1,18,2,3,0,0,11,0,0,0
346,11,0,7,0,8,0,0,0,1,14,1,0,1,1,11,2,0,0
347,57,0,21,2,18,2,0,0,5,46,0,0,3,8,48,1,0,0
348,9,0,5,1,0,0,0,1,0,7,0,0,1,1,3,1,0,0
349,12,0,5,0,3,1,0,0,0,11,5,0,0,0,15,1,0,0
350,11,0,4,1,4,0,0,0,1,21,1,0,1,1,13,0,0,0
351,5,0,3,0,4,0,0,0,2,8,0,0,1,0,5,0,0,1
352,20,0,5,0,5,7,0,1,0,19,2,4,2,1,13,0,0,1
353,9,0,4,0,1,3,0,0,0,8,0,0,1,0,5,0,0,1
354,30,0,6,0,19,5,0,2,3,14,2,6,3,1,42,0,0,0
355,17,0,13,2,5,2,0,0,0,22,2,0,0,3,22,1,0,0
356,6,0,3,0,2,3,0,0,0,5,1,1,0,2,5,0,0,0
357,22,0,9,0,7,1,0,1,0,15,0,0,1,3,24,0,0,1
358,19,0,8,1,3,2,0,0,0,24,2,3,1,0,10,0,0,1
359,11,1,5,0,4,0,0,0,0,7,0,0,0,2,5,0,1,1
360,29,3,12,1,9,1,0,0,1,34,0,0,2,6,40,0,1,0
361,13,0,6,1,3,2,0,0,0,23,1,0,0,1,6,0,0,1
